,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
1.0,1.0,-12.510008783317435,-11.997231520305128,-9.679730249896881,-12.510008783331466,-11.997231520307036,-9.679730249898494
2.0,2.0,-13.3626959134414,-12.30340375100495,-12.281166633198179,-13.362695913447158,-12.295617742794118,-12.263026521629921
3.0,3.0,-10.463403313550412,-10.424038035867364,-10.369797918890514,-10.463403313564104,-10.424038035867369,-10.36979791894486
4.0,4.0,-13.84890232022105,-13.451689512663409,-13.247336045696052,-13.848902320221189,-13.451689512695012,-13.247336045720115
5.0,5.0,-11.207939934211849,-7.878878514716577,-7.655520144386965,-11.20793993428749,-7.56048455315233,-7.544917069445331
6.0,6.0,-13.503290342799348,-13.274370666881678,-12.466564853342952,-13.50329034279944,-13.217169252245723,-12.465094327496264
7.0,7.0,-7.54721192590687,-7.547009245246585,-7.101336487646632,-7.5472119259492105,-7.547009245246603,-7.101336487673723
8.0,8.0,-8.673678048440223,-8.484890207350723,-7.72276987263795,-8.6736780487289,-8.420367460121799,-7.701909592951637
9.0,9.0,-1.0669582655157419e-05,-3.284039706841541e-13,0.0,-1.0669591869551725e-05,-3.285149929866164e-13,0.0
10.0,10.0,-1.3862943611198906,0.0,0.0,-1.3862943611198906,0.0,0.0
11.0,11.0,-1.3866700825921583,-1.4921397450962957e-13,-3.197442310920477e-14,-1.3866700826151415,-1.4943601911455453e-13,-4.77395900588824e-14
12.0,12.0,-13.714709074692744,-13.692872419738162,-13.690557891920315,-13.714709074692815,-13.69287241973824,-13.690557891921019
13.0,13.0,-1.3862943611198906,-1.157913935582573,-2.521028785600652e-05,-1.3862943611198906,-1.1579139355825727,-1.1324274851176631e-14
14.0,14.0,-7.407801818541631,-6.331021932294963,-5.077959931699208,-7.407801818595578,-6.331021932357675,-4.745202482047492
15.0,15.0,-13.853892039970896,-13.649378421218415,-13.609590517200166,-12.476649250079015,-12.425934367490289,-11.735021697890092
16.0,16.0,-10.734327175442107,-10.675412596532434,-10.661657147353347,-10.734327175796022,-10.675412596552263,-10.661657147394473
17.0,17.0,-13.422054908508748,-13.076644207895027,-11.27707368044743,-12.47664925007901,-12.475755959669025,-10.715490737432095
18.0,18.0,-9.503052004860939,-9.06724244768582,-9.054111351778758,-9.023727901032172,-8.94735725476621,-8.946952825446925
19.0,19.0,-9.494274905967853,-9.318252016114464,-9.050824051903502,-9.494274905981651,-8.945343604862645,-8.860536791954859
20.0,20.0,-4.538941283506996,-4.040749532487835,-3.634884687787637,-4.2894678089730585,-3.784602012181572,-2.9353612986364306
21.0,21.0,-7.77605051874504,-7.295321664324593,-7.2133378846315965,-7.352493727132345,-6.886433071891887,-6.814898467850105
22.0,22.0,-10.999726393118303,-10.493472252629383,-10.486075024777458,-10.851940209670673,-10.27308528770705,-10.252172698527872
23.0,23.0,-5.2080192490468775,-5.029541251621424,-3.7159711184359603,-4.5438127325591005,-4.4228840487782906,-2.8734058727730716
24.0,24.0,-13.053642639002376,-13.017265761180825,-12.924459626084241,-13.053642639002424,-13.017265761187438,-12.922103461807314
25.0,25.0,-4.948192576344667,-3.6478503321209983,-3.5668811067769943,-4.948192576355662,-3.64785033212127,-3.566881107209606
26.0,26.0,-13.859499423399697,-12.71138356646639,-12.497643392155272,-12.476649250079012,-12.45608635374983,-12.020059484029508
27.0,27.0,-1.3862943611198906,-0.06421323845915872,0.0,-1.3862943611198906,-0.06421323847705723,0.0
28.0,28.0,-13.796215418214121,-13.62100979759267,-13.618438142204164,-12.476649250079015,-12.44588728918647,-11.996285654807018
29.0,29.0,-13.361247471152975,-13.289547132209888,-13.094877850914072,-13.36124747144687,-12.786959933124283,-12.69063264928843
30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,31.0,-10.753674806280507,-10.74459788872204,-9.723648396742172,-10.753674806356063,-10.744597888726307,-9.625836705411606
32.0,32.0,-11.86239759779137,-11.742209882186723,-11.378788332567883,-11.862397597832729,-11.617601168126448,-11.378788333246897
33.0,33.0,-4.768582425271851,-4.551513041635695,-4.361196337511857,-4.740199570515819,-4.539555814972029,-4.324431255736014
34.0,34.0,-7.776349089880078,-7.667069102828519,-7.32949914982743,-7.776349089948484,-7.6670691028322855,-7.329499149965487
35.0,35.0,-4.794657870504788,-4.505256426880479,-4.416489587833221,-4.791971270807753,-4.505256426900978,-4.41648958783512
36.0,36.0,-13.259429401134295,-13.108058528578209,-13.039738856060389,-12.476032982791127,-12.431722717729617,-12.411397276397599
37.0,37.0,-13.663180563625174,-13.394886252914771,-13.127060951399033,-13.663180563638488,-13.256651964350285,-13.10879580161721
38.0,38.0,-4.136938023960724,-4.13498249020086,-0.6314215000222932,-3.6915833833961487,-3.634100019075564,-5.222685573481718e-08
39.0,39.0,-13.83857367399693,-11.65743282925179,-11.580832364762925,-12.476649250079015,-11.657432829386709,-9.014009426066165
40.0,40.0,-6.117060287852638,-5.687181903649249,-5.67186175640476,-6.117060287854455,-5.687181903746702,-5.362173893565243
41.0,41.0,-0.6931471805599453,0.0,0.0,-0.6931471805599453,0.0,0.0
42.0,42.0,-5.698627623252722,-5.3346935979174015,-5.198692048494891,-5.612555816465651,-5.333620167200122,-4.949488356954349
43.0,43.0,-3.7688826755973786,-1.6722770533813511,-1.2460329164603743,-2.868066539105322,-1.2127015595056858,-1.1404991076329387
44.0,44.0,-1.3862943611198906,0.0,0.0,-1.3862943611198906,0.0,0.0
45.0,45.0,-1.3862943611198906,0.0,0.0,-1.3862943611198906,0.0,0.0
46.0,46.0,-12.122105393235412,-10.47127425133457,-9.778976263789593,-12.119746858896525,-10.21888211285934,-9.44785709525226
47.0,47.0,-2.0794415416798357,-2.027007091375948,-1.99238001562846,-2.0794415416798357,-2.027007091375948,-1.9923800156283944
48.0,48.0,-12.35296979242443,-12.280090618943662,-12.055754268545728,-12.352969792518799,-12.280090618943694,-12.055754269107284
49.0,49.0,-11.379421624588085,-11.15655156161861,-11.155678772465393,-11.379421624591204,-11.156551561773345,-11.155678773135813
50.0,50.0,-11.480895315428487,-10.227814299881679,-10.135988744155165,-11.480895315556708,-10.227814300296702,-9.131815211840557
