,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
1.0,1.0,-12.420125357630111,0.0,0.0,-12.420125357630532,0.0,0.0
2.0,2.0,-12.07321167049398,-11.912049165869016,-11.436838519977625,-12.073211670561648,-11.912049165888156,-11.436838520682679
3.0,3.0,-11.889212343403493,-11.880778192053201,-11.764291120198608,-10.954250560937727,-10.937541085521572,-10.9241049683492
4.0,4.0,-9.721197403258046,-8.679923486423112,-8.624374977979349,-9.435809969568068,-8.67992348643416,-8.612634927288834
5.0,5.0,-11.207939934211847,-9.128080159676552,-8.467709743741045,-11.207939934347769,-8.705892667652124,-8.432310681523514
6.0,6.0,-12.724474454132395,-12.192371158220162,-12.126101910247582,-11.84997319463917,-11.423213639622563,-11.31173566177905
7.0,7.0,-12.066586778435944,-9.15452582106609,-8.598225660283696,-11.3341112513807,-8.4005786890863,-7.8851211762845095
8.0,8.0,-9.064259207666222,-7.850448309518314,-7.80938232620233,-9.064259207673356,-5.884428680753305,-4.6739849105223366
9.0,9.0,-6.867970122432283,-6.192055882916763,-6.072863207025788,-6.732791444647971,-5.990097242661853,-5.704658198755334
10.0,10.0,-1.3862943611198906,-1.347545018744095,-2.8865798640254094e-15,-1.3862943611198906,-1.347545018744095,0.0
11.0,11.0,-1.3866700825921583,-0.01352288282993552,-0.0002858326346509017,-1.3866700825951663,-0.013522882830010062,-0.0002878889028922128
12.0,12.0,-13.07702036047174,-11.879959658232364,-8.55586453927787,-12.42654245378071,-11.609227858391911,-8.48495701054491
13.0,13.0,-1.3862943611198906,0.0,0.0,-1.3862943611198906,0.0,0.0
14.0,14.0,-7.407801818541629,-0.00018115919497546846,0.0,-6.89633450217256,-0.00018115923188860827,0.0
15.0,15.0,-13.656059385022653,-1.158018125840398e-11,-2.4691360067684516e-12,-12.049984272941384,-1.0625167412613264e-11,-1.3922196728805974e-12
16.0,16.0,-13.371521290800597,-13.001507866163434,-10.898841276654538,-13.30831607308339,-13.001507866163523,-10.771234331189163
17.0,17.0,-11.28302840738144,-11.222030374093672,-11.19267601648391,-11.277006846575166,-10.942034700389078,-10.925530891218541
18.0,18.0,-7.618775338246215,-7.516031541820644,-7.488230136199212,-7.61877533847532,-7.516031541889394,-7.488230136237429
19.0,19.0,-10.372487446930391,-7.777562455439424,-7.324329898747052,-10.372487447152572,-7.777562455439961,-7.324329898773063
