,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
1.0,1.0,-12.420125357630111,0.0,0.0,-12.42012535764025,0.0,0.0
2.0,2.0,-7.077890939168317,-6.692848318945146,-6.643696109309154,-6.593735386781284,-6.30506279229815,-6.151529308595743
3.0,3.0,-13.290348013432908,-13.273661328164586,-11.265674833084866,-12.071600190311106,-11.992168755465883,-10.899703236065005
4.0,4.0,-10.565665698247605,-8.853626259003926,-5.58347263124299,-9.801574338407356,-8.853626259765164,-5.547418786899592
5.0,5.0,-8.764060065459445,-6.673828583350504,-5.948100551371778,-7.7462105319143175,-6.673828583492445,-5.9481005514548455
6.0,6.0,-12.072146337669153,-10.371915307173987,-8.686178655397207,-12.072146337680488,-9.90452168076422,-8.347083152717987
7.0,7.0,-10.882225410631426,-8.18220912361923,-5.996999202257942,-10.258969564626298,-7.0364923026779795,-5.05091945368352
8.0,8.0,-8.555849159594691,-6.423012424245505,-5.007365945467411,-8.555849159597622,-6.32804659651446,-3.550693266639796
9.0,9.0,-8.327358735355341,-7.259996353971614,-6.858073896353713,-8.327358735393663,-7.053456582048208,-6.858073896372748
10.0,10.0,-1.3862943611198906,-1.347545018744095,-1.1102230246251565e-16,-1.3862943611198906,-1.347545018744095,-2.220446049250313e-16
11.0,11.0,-1.3866700825921583,-0.01352288282997363,-0.0002858326346527366,-1.386670082592168,-0.013522882831100563,-0.0037297530341511027
12.0,12.0,-8.913758939363515,-8.02645615458321,-3.8285807629751325,-8.46818255838352,-7.917411262628262,-3.8285807629755544
13.0,13.0,-1.3862943611198906,0.0,0.0,-1.3862943611198906,0.0,0.0
14.0,14.0,-7.40780181854163,-0.00018115919497490665,0.0,-6.896334496535859,-0.00018115919580924796,0.0
15.0,15.0,-13.656059385022653,-1.1580181258403989e-11,-2.4692470290709125e-12,-12.049984272941481,-1.0625056390310882e-11,-9.844347559354595e-13
16.0,16.0,-11.7161174277528,-11.470181965684489,-11.134398523433456,-10.583033905698063,-10.400570609267781,-10.165449282631661
17.0,17.0,-10.63680266799293,-8.662577118829331,-7.555841586743032,-9.355030965503419,-8.053626713071157,-7.555854736251855
18.0,18.0,-9.091537046413135,-8.72372882511881,-8.717239186929147,-9.08901762889973,-8.215992660877852,-8.20969905668646
19.0,19.0,-8.804281499249752,-8.581380930258435,-8.314246144473115,-7.689276744659636,-7.592889623177095,-7.339896952946533
