"sub","role","trial","emotion","X1","Y1","RT","erqCogReapp","erqExpSupp","erqTotal","tasDesFeel","tasIdeFeel","tasExtThink","tasTotal","tasLabel","age","gender","study"
1,"self",1,"annoyed",53,-50,"12.775",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",2,"relaxed",151,-187,"5.655",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",3,"enthusiastic",149,132,"1.751",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",4,"calm",142,-197,"2.413",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",5,"disappointed",-163,-137,"2.256",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",6,"aroused",127,155,"1.911",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",7,"neutral",-1,0,"3.538",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",8,"sluggish",-170,-146,"2.611",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",9,"peppy",128,171,"2.275",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",10,"quiet",1,-231,"5.2",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",11,"still",-5,-166,"2.691",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",12,"surprised",-14,144,"3.848",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",13,"sleepy",48,-233,"4.884",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",14,"nervous",-141,189,"11.367",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",15,"afraid",-43,174,"2.141",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",16,"satisfied",223,147,"5.808",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",17,"disgusted",-147,154,"1.925",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",18,"angry",-164,172,"1.858",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",19,"happy",101,127,"1.602",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
1,"self",20,"sad",-106,-140,"1.812",4.83333333333333,NA,NA,3.2,3.71428571428571,3,66,"Alexithymia",29,0,"study1"
2,"self",1,"relaxed",155,1,"94.706",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",2,"calm",224,2,"9.161",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",3,"sad",-207,-3,"5.427",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",4,"surprised",1,126,"5.466",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",5,"still",0,3,"3.139",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",6,"aroused",39,193,"3.907",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",7,"peppy",141,134,"3.082",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",8,"disappointed",-150,100,"4.543",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",9,"sleepy",-160,-196,"3.598",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",10,"angry",-138,195,"3.662",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",11,"annoyed",-194,1,"10.118",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",12,"enthusiastic",227,229,"2.64",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",13,"nervous",-200,85,"5.636",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",14,"disgusted",-243,238,"2.552",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",15,"satisfied",247,225,"1.851",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",16,"neutral",-4,0,"1.972",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",17,"afraid",-158,-99,"2.711",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",18,"sluggish",-151,-195,"2.225",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",19,"quiet",-2,-2,"2.775",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
2,"self",20,"happy",250,153,"3.812",7,7,70,2.6,1.14285714285714,2.25,39,"No_Alexithymia",27,0,"study1"
3,"self",1,"enthusiastic",233,235,"10.968",3.66666666666667,4,38,1.2,1,1.875,28,"No_Alexithymia",36,1,"study1"
3,"self",2,"surprised",1,232,"5.036",3.66666666666667,4,38,1.2,1,1.875,28,"No_Alexithymia",36,1,"study1"
3,"self",3,"still",1,-247,"10.431",3.66666666666667,4,38,1.2,1,1.875,28,"No_Alexithymia",36,1,"study1"
3,"self",4,"happy",244,110,"9.934",3.66666666666667,4,38,1.2,1,1.875,28,"No_Alexithymia",36,1,"study1"
