sub,trial,emotion,valence,arousal,rt
1,1,quiet,43,3,11.427
1,2,aroused,-3,236,7.455
1,3,peppy,231,2,5.12
1,4,enthusiastic,239,1,4.098
1,5,sad,-236,5,3.05
1,6,calm,242,3,2.983
1,7,sleepy,2,-236,4.869
1,8,happy,243,1,3.391
1,9,neutral,-6,-1,3.915
1,10,nervous,-145,-113,4.727
1,11,still,1,0,4.993
1,12,annoyed,-195,-199,4.292
1,13,disgusted,-205,-215,2.958
1,14,afraid,-211,-216,3.238
1,15,angry,-197,-189,3.108
1,16,disappointed,-124,-134,3.143
1,17,satisfied,113,131,5.535
1,18,relaxed,177,50,8.453
1,19,sluggish,-215,-190,3.68
1,20,surprised,74,63,8.684
2,1,sluggish,2,-244,7.01
2,2,enthusiastic,232,245,4.375
2,3,happy,231,4,2.987
2,4,quiet,-2,-248,8.226
2,5,sleepy,79,-244,7.496
2,6,surprised,145,171,3.947
2,7,afraid,-161,154,3.322
2,8,disappointed,-134,-185,3.872
2,9,sad,-243,-240,4.781
2,10,nervous,-240,232,4.864
2,11,aroused,244,246,20.992
2,12,satisfied,236,-1,4.762
2,13,angry,-239,1,4.362
2,14,calm,244,-248,4.54
2,15,disgusted,-232,171,5.4
2,16,relaxed,238,-209,4.659
2,17,annoyed,-232,93,4.941
2,18,still,0,-245,7.185
2,19,neutral,1,3,3.511
2,20,peppy,241,241,3.496
3,1,angry,-143,148,11.382
3,2,happy,141,154,5.871
3,3,afraid,-79,188,8.399
3,4,surprised,2,206,17.435
3,5,disgusted,-133,-106,7.406
3,6,sleepy,3,-215,7.948
3,7,aroused,172,211,7.748
3,8,calm,165,-164,3.99
3,9,nervous,0,0,11.372
3,10,sad,-150,-164,4.933
3,11,sluggish,-148,-158,4.442
3,12,peppy,140,158,4.758
3,13,quiet,2,-218,17.603
3,14,satisfied,162,-156,14.475
3,15,disappointed,-144,-163,6.21
3,16,still,0,0,5.594
3,17,neutral,1,1,9.69
3,18,annoyed,-88,-77,6.537
3,19,relaxed,134,-158,4.702
3,20,enthusiastic,168,176,7.314
4,1,quiet,8,-199,12.214
4,2,aroused,2,213,11.434
4,3,satisfied,126,-215,8.212
4,4,still,2,-180,10.592
4,5,afraid,-193,179,6.658
4,6,happy,211,152,5.26
4,7,neutral,2,-146,11.298
4,8,enthusiastic,167,178,8.967
4,9,surprised,1,222,6.621
4,10,relaxed,101,-220,5.248
4,11,sleepy,12,-239,9.61
4,12,angry,-233,181,6.84
4,13,disappointed,-204,-51,8.522
4,14,sad,-221,-133,6.898
4,15,nervous,-12,175,6.777
4,16,annoyed,-208,192,4.017
4,17,sluggish,2,-184,5.122
4,18,calm,16,-156,4.461
4,19,disgusted,-201,202,7.139
4,20,peppy,27,115,21.725
5,1,sluggish,-104,-76,7.169
5,2,satisfied,150,136,4.781
5,3,disappointed,-131,-100,21.275
5,4,relaxed,142,16,4.583
5,5,enthusiastic,121,127,3.132
5,6,quiet,-2,0,5.132
5,7,surprised,85,172,9.643
5,8,nervous,-123,203,10.132
5,9,annoyed,-100,173,18.011
5,10,afraid,-118,211,6.985
5,11,peppy,-46,2,5.824
5,12,angry,-166,219,3.81
5,13,sad,-187,211,3.069
5,14,sleepy,1,0,5.913
5,15,happy,210,222,7.675
5,16,aroused,-1,241,6.257
5,17,neutral,0,-1,3.133
5,18,still,1,-2,3.28
5,19,disgusted,-220,224,8.795
5,20,calm,1,0,27.815
6,1,relaxed,147,-95,18.18
6,2,enthusiastic,128,129,6.109
6,3,surprised,71,203,7.228
6,4,neutral,0,4,7.35
6,5,quiet,-1,-66,13.017
6,6,nervous,-119,126,6.333
6,7,sluggish,-72,-88,9.214
6,8,angry,-176,160,7.045
6,9,sad,-128,1,7.092
6,10,still,-1,-62,11.489
6,11,satisfied,111,30,9.992
6,12,peppy,148,118,10.46
6,13,disgusted,-184,46,8.693
6,14,annoyed,-143,54,11.29
6,15,calm,135,2,7.093
6,16,sleepy,0,-192,6.346
6,17,happy,146,68,8.238
6,18,afraid,-180,160,6.152
6,19,disappointed,-143,-26,7.635
6,20,aroused,161,214,8.497
7,1,calm,36,-118,21.575
7,2,sleepy,17,-231,4.491
7,3,nervous,-10,163,7.978
7,4,annoyed,-148,51,8.233
7,5,angry,-128,142,5.082
7,6,still,33,-134,6.423
7,7,quiet,0,-157,7.724
7,8,surprised,-1,227,6.944
7,9,satisfied,188,2,5.99
7,10,sluggish,-8,-176,5.236
7,11,enthusiastic,63,168,5.974
7,12,peppy,86,89,4.329
7,13,neutral,1,-1,6.511
7,14,sad,-76,0,6.963
7,15,disgusted,-117,28,5.419
7,16,relaxed,71,-129,5.441
7,17,afraid,-38,144,6.531
7,18,aroused,0,226,4.986
7,19,disappointed,-171,-1,4.626
7,20,happy,181,0,3.814
8,1,sleepy,2,-239,19.398
8,2,sad,-241,0,11.682
8,3,disgusted,-132,120,27.219
8,4,afraid,-145,168,28.292
8,5,calm,117,0,18.825
8,6,neutral,4,0,9.993
8,7,relaxed,105,31,19.341
8,8,enthusiastic,227,146,21.679
8,9,sluggish,-80,-186,19.02
8,10,aroused,3,244,14.459
8,11,angry,-241,240,17.013
8,12,disappointed,-159,88,14.568
8,13,quiet,44,42,31.314
8,14,annoyed,-169,136,9.687
8,15,nervous,-101,188,13.981
8,16,happy,185,148,15.699
8,17,surprised,31,191,23.856
8,18,peppy,221,216,17.955
8,19,satisfied,173,134,16.534
8,20,still,50,-37,56.242
9,1,angry,-138,-3,124.734
9,2,disappointed,-103,0,5.505
9,3,happy,-2,186,5.16
9,4,afraid,1,-129,7.947
9,5,calm,0,-189,5.059
9,6,quiet,1,-131,35.518
9,7,satisfied,1,-69,83.312
9,8,aroused,1,214,5.632
9,9,annoyed,-143,1,9.16
9,10,sleepy,0,-148,5.669
9,11,nervous,-167,4,7.848
9,12,enthusiastic,1,186,4.621
9,13,neutral,-1,1,8.468
9,14,still,0,-131,6.159
9,15,disgusted,-173,2,66.057
9,16,peppy,136,-2,6.122
9,17,sad,-88,0,57.749
9,18,sluggish,-42,2,22.753
9,19,relaxed,120,1,109.34
9,20,surprised,0,183,5.093
10,1,nervous,-105,100,54.999
10,2,angry,-200,238,6.765
10,3,calm,174,-163,4.506
10,4,quiet,184,-179,2.747
10,5,neutral,38,-34,3.942
10,6,peppy,176,197,3.155
10,7,sleepy,80,-203,3.457
10,8,surprised,20,226,6.165
10,9,satisfied,175,90,3.246
10,10,happy,190,184,2.63
10,11,aroused,200,180,2.204
10,12,disgusted,-178,-89,4.225
10,13,annoyed,-190,72,3.496
10,14,afraid,-72,234,6.374
10,15,relaxed,219,-220,3.032
10,16,enthusiastic,216,227,2.7
10,17,sad,-107,-85,4.461
10,18,disappointed,-130,-46,4.027
10,19,still,31,-216,4.644
10,20,sluggish,-22,-240,3.555
11,1,sad,-218,-207,10.929
11,2,satisfied,185,178,4.269
11,3,afraid,-228,243,6.575
11,4,aroused,229,233,4.498
11,5,peppy,146,149,3.301
11,6,sleepy,146,-187,12.579
11,7,disappointed,-198,-185,7.627
11,8,still,146,2,6.978
