sub,trial,block,offer,partner_name,partner_id,choice,choice_RT,EP_RT,EP_X1,EP_Y1,feedback_RT,feedback_X1,feedback_Y1,RP,RP_RT,condition
1,1,re,85,zach,118,0,8.034,6.293,-1,2,6.022,-157,-137,0.25,11.542,re_r_order
1,2,re,50,cody,117,0,5.083,6.301,4,1,7.811,236,56,0.35,6.4,re_r_order
1,3,re,75,samuel,57,0,7.614,5.499,3,3,9.046,-1,2,0.1,4.019,re_r_order
1,4,re,85,matt,137,1,5.251,3.334,3,-3,6.805,-99,-229,0.15,3.916,re_r_order
1,5,re,55,kevin,127,0,5.217,5.489,2,0,4.767,207,67,0.2,3.844,re_r_order
1,6,re,95,dylan,143,1,3.863,4.23,-1,3,5.542,-228,-241,0.3,4.849,re_r_order
1,7,re,65,daniel,96,0,2.39,6.139,3,1,7.351,69,1,0.25,5.483,re_r_order
1,8,re,65,ryan,77,0,2.288,4.63,3,2,5.628,55,0,0.45,2.973,re_r_order
1,9,re,75,andre,111,0,2.212,4.121,3,1,13.177,1,0,0.2,6.816,re_r_order
1,10,re,80,ben,136,1,5.107,3.9,0,-1,7.322,2,-36,0.2,2.552,re_r_order
1,11,re,95,nichola,6,1,3.432,4.998,-2,1,8.422,-231,-204,0.35,4.15,re_r_order
1,12,re,90,chris,88,1,2.545,3.823,-1,1,4.274,-228,-191,0.25,4.523,re_r_order
1,13,re,50,aaron,21,0,2.93,3.516,-1,1,7.623,232,142,0.15,6.525,re_r_order
1,14,re,70,jordan,86,0,1.863,5.506,1,0,5.618,49,-1,0.3,3.388,re_r_order
1,15,re,90,austin,65,1,3.654,4.735,0,1,7.05,-242,-199,0.25,3.657,re_r_order
1,16,re,60,jacob,131,0,3.373,5.112,1,1,6.455,188,66,0.15,4.232,re_r_order
1,17,re,60,eric,1,0,3.676,5.155,2,0,4.36,179,66,0.3,4.46,re_r_order
1,18,re,70,justi,155,0,3.106,6.407,2,-2,5.117,2,1,0.05,3.62,re_r_order
1,19,re,80,brando,60,1,3.669,4.591,1,-1,6.661,-21,-27,0.4,4.144,re_r_order
1,20,re,55,john,102,0,2.886,5.55,1,0,4.641,207,32,0.4,5.101,re_r_order
2,1,re,50,cody,117,0,6.209,6.11,-122,-122,9.284,237,-1,0.1,5.587,re_r_order
2,2,re,65,ryan,77,0,3.932,8.864,1,0,11.816,-1,1,0.25,13.141,re_r_order
2,3,re,70,jordan,86,0,2.852,5.458,-87,-243,7.887,-63,-236,0.05,6.549,re_r_order
2,4,re,95,nichola,6,0,24.743,3.471,2,4,4.509,-243,-245,0.2,4.294,re_r_order
2,5,re,70,justi,155,0,2.652,5.285,1,-247,6.619,116,74,0.05,6.741,re_r_order
2,6,re,85,matt,137,0,2.674,3.595,-232,-10,5.785,-240,-240,0.05,2.708,re_r_order
2,7,re,50,aaron,21,0,3.238,3.117,237,2,3.536,237,235,0.5,6.451,re_r_order
2,8,re,55,kevin,127,0,4.176,3.29,-240,-248,3.469,244,246,0.05,4.778,re_r_order
2,9,re,85,zach,118,0,2.111,2.93,-75,6,3.677,-229,-242,0.15,8.855,re_r_order
2,10,re,80,brando,60,0,2.935,28.887,76,135,6.632,-219,-22,0.35,7.992,re_r_order
2,11,re,75,samuel,57,0,3.346,5.721,-218,-233,3.698,-236,-244,0.1,2.385,re_r_order
2,12,re,60,eric,1,0,10.215,6.976,-2,-3,2.851,89,-9,0.25,15.824,re_r_order
2,13,re,60,jacob,131,0,7.65,7.301,-84,-152,4.008,207,199,0.1,39.955,re_r_order
2,14,re,75,andre,111,0,3.283,4.534,-243,-242,3.675,5,-4,0,6.876,re_r_order
2,15,re,80,ben,136,0,2.673,3.638,104,102,6.565,0,3,0.25,6.089,re_r_order
2,16,re,65,daniel,96,0,3.24,2.308,-111,-51,2.918,-158,-79,0.1,2.458,re_r_order
2,17,re,95,dylan,143,0,4.477,5.218,-224,-225,3.992,-245,-245,0.05,3.728,re_r_order
2,18,re,90,austin,65,0,3.819,3.081,83,5,4.915,-184,-76,0.25,9.239,re_r_order
2,19,re,55,john,102,0,3.099,3.138,125,43,3.376,205,172,0.4,3.2,re_r_order
2,20,re,90,chris,88,0,2.333,3.833,-104,-142,3.472,-231,-248,0.15,5.227,re_r_order
3,1,re,80,brando,60,0,4.638,6.695,159,-113,6.112,-100,-144,0.4,11.902,re_r_order
3,2,re,85,zach,118,1,8.289,7.54,124,-127,9.306,-140,-152,0.35,7.396,re_r_order
3,3,re,70,jordan,86,0,5.064,6.901,38,-199,8.528,166,-11,0.25,5.587,re_r_order
3,4,re,85,matt,137,1,3.718,7.147,0,-111,5.61,-88,-93,0.15,4.818,re_r_order
3,5,re,65,daniel,96,0,8.678,5.895,46,-141,7.006,118,53,0.2,4.584,re_r_order
3,6,re,55,kevin,127,0,3.483,5.827,96,-84,6.782,141,150,0.2,5.295,re_r_order
3,7,re,90,chris,88,1,2.561,7.608,134,-136,3.493,-81,-120,0.2,5.964,re_r_order
3,8,re,50,aaron,21,0,2.774,5.027,70,-172,3.386,160,161,0.25,11.624,re_r_order
3,9,re,95,dylan,143,1,2.752,7.211,0,-66,3.438,-134,-162,0.15,4.823,re_r_order
3,10,re,80,ben,136,0,7.398,3.999,94,-77,4.673,-6,-24,0.3,4.148,re_r_order
3,11,re,70,justi,155,0,2.629,6.55,-2,-62,4.373,144,-43,0.2,5.952,re_r_order
3,12,re,90,austin,65,1,2.673,4.047,17,-26,2.911,-136,-132,0.15,16.391,re_r_order
3,13,re,75,andre,111,0,1.92,8.106,-50,-81,4.446,60,-71,0.1,130.338,re_r_order
3,14,re,50,cody,117,0,3.659,3.823,56,-72,3.721,93,91,0.3,4.923,re_r_order
3,15,re,60,jacob,131,0,2.586,2.997,1,-41,4.728,109,2,0.2,6.188,re_r_order
3,16,re,55,john,102,0,2.664,8.548,106,-54,6.953,124,23,0.15,13.196,re_r_order
