sub,trial,block,offer,partner_name,partner_id,choice,choice_RT,f_r_page_submit,RP,RP_RT,condition
1,1,r,75,michae,135,0,3.932,3.826,0.25,4.466,re_r_order
1,2,r,65,paul,83,0,4.126,2.35,0.35,3.838,re_r_order
1,3,r,75,joshua,62,0,3.768,7.905,0.25,2.917,re_r_order
1,4,r,85,tony,27,1,1.757,2.579,0.2,4.141,re_r_order
1,5,r,80,cory,47,0,2.124,2.226,0.4,30.34,re_r_order
1,6,r,60,mark,116,0,1.958,1.694,0.15,2.733,re_r_order
1,7,r,90,keith,90,1,3.446,2.857,0.15,3.06,re_r_order
1,8,r,50,nathan,160,0,1.811,1.778,0.4,2.884,re_r_order
1,9,r,90,connor,153,1,2.085,2.083,0.1,3.074,re_r_order
1,10,r,85,kyle,23,1,2.555,2.379,0.05,4.899,re_r_order
1,11,r,55,tom,161,0,3.116,1.254,0.2,4.08,re_r_order
1,12,r,65,patric,145,0,2.575,1.71,0.25,2.828,re_r_order
1,13,r,70,tyler,81,0,2.358,1.966,0.3,3.865,re_r_order
1,14,r,95,scott,152,1,1.991,2.104,0.05,3.005,re_r_order
1,15,r,50,anthony,63,0,2.069,1.942,0.1,3.015,re_r_order
1,16,r,55,logan,144,0,2.351,1.838,0.1,2.814,re_r_order
1,17,r,95,ethan,20,1,1.853,1.8,0.45,3.164,re_r_order
1,18,r,80,blake,22,1,2.107,3.098,0.25,2.373,re_r_order
1,19,r,60,joseph,169,0,2.31,2.097,0.3,29.329,re_r_order
1,20,r,70,edward,54,0,2.2,1.138,0.1,3.193,re_r_order
2,1,r,95,scott,152,0,2.313,2.017,0.2,6.52,re_r_order
2,2,r,90,keith,90,0,2.453,1.342,0.35,6.167,re_r_order
2,3,r,85,kyle,23,0,2.506,1.448,0.45,2.916,re_r_order
2,4,r,60,mark,116,0,2.412,1.569,0.05,2.875,re_r_order
2,5,r,55,tom,161,0,2.061,1.632,0,2.844,re_r_order
2,6,r,80,blake,22,0,2.383,1.184,0.05,3.086,re_r_order
2,7,r,50,nathan,160,0,2.348,1.2,0.2,9.136,re_r_order
2,8,r,75,michae,135,0,2.698,1.208,0.05,5.015,re_r_order
2,9,r,65,patric,145,0,2.623,1.471,0.1,5.857,re_r_order
2,10,r,85,tony,27,0,2.355,1.484,0.1,5.789,re_r_order
2,11,r,95,ethan,20,0,2.273,1.396,0.15,3.197,re_r_order
2,12,r,70,edward,54,0,2.723,1.151,0.15,3.393,re_r_order
2,13,r,55,logan,144,0,2.381,1.197,0.05,2.962,re_r_order
2,14,r,70,tyler,81,0,3.256,1.501,0.5,3.006,re_r_order
2,15,r,75,joshua,62,0,1.983,1.263,0.15,12.455,re_r_order
2,16,r,90,connor,153,0,2.561,1.293,0.05,3.196,re_r_order
2,17,r,65,paul,83,0,3.123,1.277,0.15,8.57,re_r_order
