,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
1.0,1.0,-11.773985017484414,-11.391804826441824,-11.310650948471746,-11.713020045447067,-11.391342500765248,-11.30789634512302
2.0,2.0,-3.880338980557193,-3.851542451973896,-3.8333339408608973,-3.880338980557725,-3.8515424521253196,-3.8333339409118747
3.0,3.0,-7.165494831024082,-7.1621811577776215,-6.607432573401721,-6.699790878746396,-6.534922923334667,-6.366734434336106
4.0,4.0,-6.73793688260165,-6.41450742122037,-6.411774011318251,-6.737936882604354,-6.414507421256265,-6.411774011345696
5.0,5.0,-9.064083449987129,-9.03189762535624,-7.654247968038925,-8.379385762459975,-8.369655076003667,-7.215668996151704
6.0,6.0,-10.958120927759383,-10.0114972052886,-9.998640365547638,-10.95812092776232,-8.293868111872282,-8.156136060502543
7.0,7.0,-11.286695428540432,-11.286336940001238,-10.226698187135119,-11.271746485477838,-11.265689439296622,-10.226698187137979
8.0,8.0,-11.13387419421474,-8.824677096066942,-5.481943171779562,-10.741630962262846,-8.824677096656824,-5.481943171783791
9.0,9.0,-9.169827775871063,-8.601761508275763,-8.58467641963268,-8.724051781785402,-7.8493889812765705,-7.57525012787607
10.0,10.0,-9.73608601420812,-9.37216292882657,-9.271884253935108,-9.736086027006726,-9.37216292886268,-9.271884253945032
11.0,11.0,-6.304961026194453,-5.387814734926398,-4.624604929797716,-6.304961026196422,-5.116639242650407,-4.36736769086262
12.0,12.0,-9.66686831115348,-8.411340939330076,-5.774759697933963,-9.666868311153568,-8.403915919438179,-5.72379465610766
13.0,13.0,-6.556294249899769,-6.399702819157769,-5.2753014980512996,-6.556294249907697,-6.399702819159339,-5.275301498055526
14.0,14.0,-6.460159941725088,-6.352699917128261,-3.989841471505634,-6.460159941778654,-6.352699917129463,-2.8325373544040082
15.0,15.0,-11.62962634058841,-11.629556936443652,-9.498160557007765,-11.560577520545216,-11.49694785560676,-9.062523015515803
16.0,16.0,-12.462175185313672,-12.377759183489415,-11.872721393245232,-12.303840635204518,-12.302307243635596,-11.389634083607287
17.0,17.0,-3.324250258025689,-3.3242450041641627,-3.2043964785599215,-3.3236950494636415,-3.322972932294867,-3.2043964785662333
18.0,18.0,-11.740411134161576,-11.082813256123629,-11.034401378888669,-11.28490326643909,-10.870869669577957,-10.780832786645881
19.0,19.0,-3.8644125621119843,-3.5471133667965185,-3.3988251811026804,-3.86441256211242,-3.547113366805076,-3.398825181104651
20.0,20.0,-12.20988976424278,-12.17783838955079,-11.951038711480718,-12.04417454789683,-11.978665287218249,-11.906889809362044
21.0,21.0,-11.78874127127909,-11.041966586085941,-10.603740650407088,-11.683524234480243,-11.041966587017615,-10.603740650428938
22.0,22.0,-6.301261346153052,-6.156734890848249,-6.14825466460242,-5.910426133247791,-5.905595710647375,-5.895948558632354
23.0,23.0,-12.079756048730838,-12.023711255135009,-11.12125243450999,-12.078021597979264,-12.021136546925321,-11.121252434543788
24.0,24.0,-2.2162145461400597,-2.196698803171779,-1.5020683507887698e-05,-2.2162145461419795,-2.196698803171785,-1.717345815524342e-08
25.0,25.0,-11.875764833520027,-11.691339911005738,-9.776803191014341,-11.617134532407036,-11.372925137353773,-9.776803191013292
26.0,26.0,-11.753806911967205,-10.96437389636871,-10.65805414681583,-11.410492400134844,-10.911947633973655,-9.79311923377713
27.0,27.0,-12.34480829950171,-12.168039633176114,-12.046162338633328,-12.344808299501755,-12.168039633214216,-12.046162338633462
28.0,28.0,-10.83805658541614,-9.773248103852993,-9.371150229074614,-10.784726609849779,-9.612956254947804,-9.033069954282135
29.0,29.0,-10.156127476576845,-10.14570559839991,-9.46441467707663,-10.156127476606814,-10.145705598417345,-9.464414677539763
30.0,30.0,-12.00487840482868,-11.932096333742024,-11.75368078277002,-11.829414833053676,-11.7996526435009,-11.613663999892362
31.0,31.0,-10.258345541345228,-9.950178827386395,-8.912840483801444,-10.231274655462848,-9.650207023101949,-8.501371413387817
32.0,32.0,-6.461686082686269,-4.485980075382429,-4.198390975212841,-5.078570256413536,-4.0507648886537675,-3.372482300784633
33.0,33.0,-9.467019359235387,-9.465431182918177,-8.999235772643324,-9.131514646959666,-8.94511698922264,-8.470652251112798
34.0,34.0,-10.703995353080982,-10.610710526310093,-10.282482730331157,-10.703995353147631,-10.61071052631029,-10.282482730406887
35.0,35.0,-9.664204079522078,-9.649244310946008,-8.547568609072616,-9.272036349753739,-9.244367066789334,-8.432763126857262
36.0,36.0,-12.437135986506288,-12.028521951329205,-12.015322795891045,-12.437135986515438,-12.02852195132937,-11.945913637275103
37.0,37.0,-5.4118009593470715,-4.103229386593148,-3.8510133281361676,-5.41180095934726,-4.103229256128315,-3.8510133281417267
38.0,38.0,-11.187395696870215,-10.95854332138899,-9.38235639652999,-11.079677767605144,-10.915613251302984,-9.382356396588113
39.0,39.0,-8.25869150081731,-7.651508655903946,-7.422119332168975,-7.889134096792921,-6.9852949056588125,-6.919060239135002
40.0,40.0,-9.52441927686411,-9.383453162050074,-9.377914267137209,-8.563250670331541,-8.426821523338978,-8.415940994604048
41.0,41.0,-2.2621701989930883e-08,-2.7755575615628933e-15,0.0,0.0,0.0,0.0
42.0,42.0,-1.1656079307295886,0.0,0.0,-1.1656079307302374,0.0,0.0
43.0,43.0,-6.670497487926436e-11,-1.9931389872017446e-11,0.0,0.0,0.0,0.0
44.0,44.0,-11.736815222863447,-9.827512044196649,-9.47395017985909,-11.736815222891174,-9.699902819336632,-9.310098922422087
45.0,45.0,-7.775922767068681,-7.411974166697605,-6.223109614136645,-7.775922767085203,-7.411974166697607,-6.223109614203205
46.0,46.0,-2.644263626835917e-07,-2.2215562722750695e-13,0.0,-8.659739592076259e-15,0.0,0.0
47.0,47.0,-5.313538720917629,-3.934068659156314,-3.26212306697081,-5.313538720944291,-3.9340686591700242,-3.2621230669780568
48.0,48.0,-12.386413776072738,-11.87272974527535,-9.791976071206381,-12.239236507176843,-11.872729745275437,-9.791976071199747
49.0,49.0,-9.456966154887075,-9.416346369816974,-9.392717659491401,-9.136387520413582,-8.79587668953981,-8.787357933143806
50.0,50.0,-9.673312253610836,-9.648425399317508,-9.030378907145904,-9.67331225362616,-9.648108604534945,-8.889553045176758
51.0,51.0,-3.6969193031737206,-3.2448518673590216,-2.6295855014749057,-3.696919303194792,-3.2448518673870117,-2.6295855016064786
52.0,52.0,-9.39695577438939,-9.297037504146079,-9.28889755837074,-9.396955774397647,-9.297037504149538,-9.288897558453444
53.0,53.0,-7.180412536149219,-6.959670261241083,-4.760894364938076,-7.1804125361504525,-6.959670261244628,-4.760894365044835
54.0,54.0,-11.213329072876805,-9.867509924905091,-9.53262673879119,-11.08382054077739,-9.764001983256394,-9.50705163647591
55.0,55.0,-11.783337469985806,-11.743999685252088,-11.3845859733806,-11.652902386893667,-11.548675904325764,-11.197659826645676
56.0,56.0,-11.32751564926074,-11.326417419489399,-11.187970168508356,-11.190752038072882,-11.158921655261066,-11.029153367361907
57.0,57.0,-9.47644985655838,-9.26253796757147,-8.641257308957169,-8.917879302426273,-8.451557784896172,-6.576247529656619
58.0,58.0,-6.665313509407849,-6.663830847999997,-6.46466687927974,-6.665313509418534,-6.663830848001666,-6.46466687928076
59.0,59.0,-11.533520524572562,-11.21687991666502,-11.207925590935458,-11.533520524573401,-11.216879916706947,-11.196991036470463
60.0,60.0,-7.705593050868526,-7.050150263053786,-6.805693272982608,-7.125412027522001,-6.621899060163892,-6.332393079328028
61.0,61.0,-6.613288179680279,-5.592168459173685,-0.2660171496157162,-5.827272108243824,-5.132593102541381,-0.00022359066693065113
62.0,62.0,-8.039803754762326,-8.027331699227537,-7.83495994731855,-8.039803754887457,-8.027331699230396,-7.834959947321402
63.0,63.0,-1.8074536059997954,-5.555271303282389e-05,-3.494435783477201e-05,-1.80745360600009,-4.112132856491762e-11,-8.850364885419826e-12
64.0,64.0,-11.360574026900684,-11.29206220702289,-11.181428357433019,-11.360574026931122,-11.292062207026751,-11.181428357564815
65.0,65.0,-6.171895135015678,-5.997713900880254,-5.673391649333395,-6.051671508223451,-5.974536527253063,-5.6733916495751915
66.0,66.0,-6.240584873601662,-6.236185147459065,-6.083053145865629,-5.86298391499578,-5.844989772645433,-5.844681006553963
67.0,67.0,-11.844955280027383,-10.552013276643365,-10.51826882997977,-11.090354888959125,-10.552013276646422,-10.518268829993628
68.0,68.0,-3.7744910948540533,-2.564931159071873,0.0,-3.7373863394086446,-2.5649311591031263,0.0
69.0,69.0,-11.386749380321536,-10.665275698187118,-9.824101206656172,-11.320436702965978,-10.42169624091797,-9.312383430157173
70.0,70.0,-6.097239706227068,-5.960798197972318,-5.3739212643892085,-6.087288619663499,-5.960798197974804,-5.353890508535102
71.0,71.0,-7.420087593754955,-7.237371280920841,-6.823647540230757,-6.150469414585806,-6.129582913484173,-5.271003240997363
72.0,72.0,-5.367394373628116,-2.439337354239537,-2.1897003285498426,-4.5424338034023215,-2.3495649542297383,-2.100848498098127
73.0,73.0,-6.974358659362932,-6.640389792144392,-6.575730706393999,-6.8565869979225695,-6.64038979214681,-6.575730706398453
74.0,74.0,-8.40202589482338,-8.228896583776732,-7.73037314102841,-7.490939954518359,-6.50834360841224,-5.484740287532616
76.0,76.0,-8.6831824411908,-8.449807755871761,-8.411644497684014,-8.683182441208546,-8.44980775617351,-8.411644497689032
