,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
1.0,1.0,-12.45629823258099,-5.576293634457891,-4.554868051150457,-12.405931630534122,-4.7860950145835375,-4.226640290502084
2.0,2.0,-4.088945302930693,0.0,0.0,-4.088945302947537,0.0,0.0
3.0,3.0,-7.145513671394008,-2.414639331385222,-2.0604908560598063,-7.1455136714072465,-2.3406728460091215,-2.042865397515082
4.0,4.0,-6.9176825851708585,0.0,0.0,-6.917682585180182,0.0,0.0
5.0,5.0,-7.267610446357324,-3.3763547513675626e-11,-9.858780458671573e-14,-7.149718952197571,-3.376388058058305e-11,-9.892087149410334e-14
6.0,6.0,-11.138526785447429,-11.076892765240478,-8.253836733475794,-10.117491915598505,-9.81709884899374,-7.374780368317361
7.0,7.0,-11.612603578923423,-9.164691102458617,-5.02451433304413,-11.295279938831502,-9.164691102530071,-5.024514333056934
8.0,8.0,-9.821358963556284,-7.507331593705468,-7.388464518927168,-8.757173856641232,-7.1971146626815035,-6.829021991766829
9.0,9.0,-6.304867996228313,0.0,0.0,-6.2563575822703426,0.0,0.0
10.0,10.0,-12.356070697522874,-9.187723709208555,-8.414462318600735,-11.738421742273651,-9.13378426632726,-8.311461127208343
11.0,11.0,-7.382938918045631,0.0,0.0,-6.6758759982612945,0.0,0.0
12.0,12.0,-9.384275602331396,-9.379549002679648,-9.36971949456838,-9.384275602374045,-9.379549002680804,-9.369800108177126
13.0,13.0,-7.065179460955197,-6.118299468761849,-4.829763977430833,-6.328531872158967,-6.043386172505284,-4.82976397750215
14.0,14.0,-7.06954688719336,-6.508975287757429,-6.03064416771397,-7.069546887448528,-4.492751214240192,-4.240088138076986
15.0,15.0,-9.526470324548132,-9.525281735282658,-9.106499530706278,-8.554690127472915,-8.169968990901772,-7.550998781371122
16.0,16.0,-12.407864127108585,-10.647835441088679,-9.988133318365545,-12.407864127110505,-10.546889382144322,-9.88500021614978
17.0,17.0,-1.9853740871670857,-0.9494612749626915,-0.9450156160861809,-1.97582556492854,-0.9494612749627077,-0.9450156160861856
18.0,18.0,-10.343683430353895,-2.954091056236858,0.0,-10.278345058919836,-2.9540910563186324,0.0
19.0,19.0,-10.443807719848685,-10.39505106841603,-9.515148672704274,-10.443807719886333,-10.395051068755137,-9.51514867310849
20.0,20.0,-10.200924499361008,-1.6076029396572938e-13,-4.718447854656962e-14,-10.200924499368947,-7.327471962526043e-15,-5.884182030513336e-15
21.0,21.0,-12.30343298499334,-12.29935272276011,-12.23402596023076,-12.120397424732298,-12.080716607456864,-12.047795455521957
22.0,22.0,-3.1503066671172864,-3.1281203326481903,0.0,-3.1503066671228668,-3.128120332651046,0.0
23.0,23.0,-11.055794614361798,-4.18446955318236e-09,-3.273503690363127e-11,-11.055794614368988,0.0,0.0
24.0,24.0,-3.357656400620248,-2.6424454525799357,-2.3292093573179732e-07,-3.346687243495622,-2.6424454525801244,-2.576783231247239e-11
25.0,25.0,-9.288240451186788,-9.18540543756638,-7.720380116278017,-8.090639435532033,-8.047833567162456,-7.052282752228851
26.0,26.0,-9.376003919519464,-6.880675563528958,-6.875908930676722,-8.897617888956235,-6.880675563620475,-6.875908931090794
27.0,27.0,-11.820772657098301,-11.701253244212381,-11.399781690822625,-11.530713020294495,-11.418894825546714,-11.143852723173389
28.0,28.0,-9.938506763006156,-9.914687498520552,-9.886414957279548,-9.938506763028812,-9.914687498527353,-9.886414957309649
29.0,29.0,-9.615081044605368,-8.897645002376098,-8.138516405628456,-9.591445990652584,-8.897645002389822,-8.138516405699747
30.0,30.0,-12.442498638644917,-12.390633079880917,-9.30103255316288,-12.379914423097226,-12.266644170734574,-9.16479805065391
31.0,31.0,-8.573178462624915,-3.848079419398812,-3.84800316180142,-8.573178462665123,-2.535318297791947,-7.943093961581879e-10
32.0,32.0,-4.866675335019806,-2.508153452028386,-2.161909093653884,-4.866675335112189,0.0,0.0
33.0,33.0,-10.045844002697411,-5.2148802886461505,0.0,-10.04584400269762,-4.957698042711996,0.0
34.0,34.0,-10.050201486611819,-6.2444409909369,-4.980706591661917,-9.777095003511608,-6.2444409909622784,-4.965991087860713
