,sub,beta,w1,log_lik
6,6,0.6248086204277834,-0.2053373706447335,-13.856530307636074
9,9,1.9546257966641032,2.5635370467524736,-8.215648803644308
14,14,4.864078365658237,0.08248168760128244,-13.802891075490528
15,15,7.607805988566875,0.4512328423828411,-10.248104235829883
18,18,2.5930197374232655,2.1266164307307247,-9.288718305583215
20,20,0.4610841694851828,-7.395341853042623,-9.778326925246093
21,21,1.6482710752541645,1.1286441071555116,-11.491493904322196
22,22,8.373808051125646,0.5225550428853742,-9.373568212828372
23,23,1.2885942863285433,7.277594109181955,-6.2143737259118454
24,24,3.0338003549603827,4.503839345379236,-5.7970327760314575
25,25,2.502915065860587,1.3668913353918288,-12.0516655942323
26,26,1.7951585695972,1.6267811100350638,-11.486627841274109
28,28,2.928605289114814,2.2047458886811695,-8.827817824093948
29,29,0.9422987348993379,4.111237835272194,-11.491165995646714
30,30,3.432573798691673,0.9410338491317768,-11.003675355302677
33,33,0.5821332514897235,1.9792178255799844,-13.280524346218012
35,35,1.4510285949751707,1.919590428729956,-12.028471287243592
36,36,4.381274056832855,0.9300844993602657,-11.778859596768928
40,40,0.10434119032744026,-2.751919560533678,-13.827119607484637
41,41,0.42821821677696736,-4.657039067154696,-11.422696353353993
44,44,0.8720001812650181,7.593672934354145,-8.54837426821166
46,46,0.3815375088204819,11.772227063136683,-7.226570175309708
47,47,0.9558504477895968,2.6729831496003715,-11.82717303725125
48,48,0.9064281463879882,2.5632687491637416,-10.565665698247603
49,49,3.3432359708041584,2.1720682233144655,-7.098792910717035
50,50,2.0414806233074607,1.0226535557096534,-12.620198738295878
51,51,1.0883115744105984,3.576008998009315,-9.449349130452351
53,53,2.1188259825960536,2.49518895345323,-8.533827169746731
54,54,1.034397002951689,0.35251377626501523,-13.80835371289099
59,59,3.56982502266936,2.240016386877499,-7.283730935928897
61,61,0.9282073717057596,1.8391005924344386,-13.133541712652073
62,62,0.9797989476683233,7.32543472067837,-6.397967622047947
63,63,9.942511378778555,-45.07350680723558,-1.3862943611198906
64,64,3.3714507511933545,2.1873089433352035,-7.459560617862062
65,65,2.567828785326231,0.7135979454589915,-12.923063684993686
66,66,1.1327904151880532,0.5239073822227724,-13.715506353313195
67,67,2.3915194006839786,1.454149215290455,-11.387310869500814
69,69,3.949136375199707,1.3776281613653667,-9.228004682985567
72,72,0.7893610321143085,8.403557328880074,-7.338192747212416
74,74,1.4236544385994376,0.744156305543713,-13.522757518694743
76,76,1.8348222361474464,2.451370184131769,-10.471499466169071
79,79,0.9993833554222706,-1.7546856964946187,-13.21888939485365
81,81,0.586942104551952,-1.845478917600393,-13.541789067658852
83,83,1.6280639881998678,0.46947188809518103,-13.710857888837
86,86,7.594354608621465,-74.07946994257694,-1.3862943611198906
97,97,12.822226254324354,-37.23448898797687,-1.3862943611198906
100,100,1.8320492115657903,2.603788181031792,-10.205027309810777
101,101,0.944417841816082,4.7775647312599805,-10.072645717274957
102,102,2.2533359285395687,2.704419905095267,-8.748143776864863
106,106,1.0781226904958476,1.8780411974019389,-12.241060831140947
107,107,7.472700537978877,2.2999423785726276,-1.8832126934329823
110,110,5.139932791223101,0.7794784746646881,-10.58643200694256
111,111,0.9283575154781901,3.3079997116203472,-11.268006014692554
117,117,1.5109550506863667,2.5465011389148335,-9.734344933227657
120,120,1.2102870814292297,0.9462826514368969,-13.20413009188064
124,124,0.832460529372651,2.1775972506013073,-12.74525887033351
126,126,0.7197893924543962,0.263759642667338,-13.831333223285437
127,127,2.9661758360529897,1.3570295215455914,-10.15893047224567
131,131,1.0876803189138067,2.443638196783085,-12.032877191273132
132,132,42.725313067664686,0.16487733760979217,-6.5661061889353824
134,134,4.10052080079133,-0.754905260563995,-11.597992952062446
136,136,1.9653311400949716,0.9296932227181747,-13.037855329914297
138,138,0.385890342397632,8.69061673763917,-11.084795669314708
139,139,1.4630799421107659,2.2293021094355723,-11.04412589150755
141,141,1.0262778003669162,0.9818593297015538,-13.51406204815232
143,143,4.6525174332228705,1.7189014979206467,-6.3879279575289125
146,146,9.44116607675734,1.595997129864251,-2.9227125431478633
147,147,7.448812122313347,0.5641864556404778,-8.663822815727746
149,149,5.004990115345471,1.6619822467875958,-6.294200957795188
150,150,9.711556648070026,1.0774721271892571,-6.475286201191116
155,155,4.2945495310598405,1.578781617011455,-6.7771137209949615
156,156,0.18051433252585303,-1.4228857948446292,-13.837286647682205
160,160,3.154900927816821,1.4400235823811598,-6.9902596229311875
163,163,0.6144643092648072,-2.5089905392180727,-12.937822969744104
167,167,3.9772731332845463,2.65725782930876,-5.288941438006315
168,168,2.0917925406819355,2.0531071017831986,-10.1938015832833
173,173,31.19819379583578,0.4853627208347691,-5.505695058543624
175,175,15.61612671382448,34.19322083505902,-1.3862943611198906
176,176,2.6248000216425336,0.5995044520601313,-13.10770214975594
