,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
6.0,6.0,-13.584520558430466,-13.539444752549105,-10.970512173604822,-13.584520558430544,-13.358047260479154,-10.970512173668359
9.0,9.0,-5.208207101847013,-5.205591645011956,-5.000887430359563,-5.004069185943692,-4.971804607351861,-4.773319092373329
14.0,14.0,-13.79835004913921,-12.478335640978843,-11.444124595418351,-13.798350049141748,-12.47833564097885,-10.637430167550965
15.0,15.0,-12.486996102045584,-12.36013382519868,-11.615549283177296,-12.486996102078242,-12.36013382520312,-11.606602733371972
18.0,18.0,-10.957771409349085,-6.068923165029468,-5.129325777588049,-10.45259786274614,-5.71357276915772,-5.109532105905376
20.0,20.0,-11.933701332230548,-11.877654580035598,-11.287139645324837,-11.192266712173451,-11.189274973455053,-10.8722303397505
21.0,21.0,-13.258441145552053,-12.434814379707179,-11.897273309095096,-13.25844114555604,-12.434814379763605,-11.897273309104012
22.0,22.0,-4.392282457204267,-1.821367880580457,-3.259992276146799e-11,-4.366498899256728,-1.821367880580536,-3.2624014601102803e-11
23.0,23.0,-7.596741384413331,-7.039844308868766,-4.789821987333854,-7.596741384499747,-7.039844308880021,-4.78982198739159
24.0,24.0,-5.318423188500051,-5.2303749592422575,-5.17020977373082,-4.3977050205818795,-4.390321036580868,-4.352994936041969
25.0,25.0,-13.563718881427224,-13.20866196470375,-13.084218115915165,-13.5637188814305,-13.208661964704635,-12.97316942786886
26.0,26.0,-10.888678650171332,-8.675739093994707,-7.949897708522731,-10.258289963273741,-7.964351775827376,-7.480974144566963
28.0,28.0,-7.528884854604938,-6.146600935040618,-6.100605170468865,-7.407808900190173,-6.1466009350506745,-6.1006051704750375
29.0,29.0,-10.39050711969106,-9.696329444133829,-8.903522994061653,-10.39050711972691,-9.69632944414314,-8.903522994061642
30.0,30.0,-10.505909808517936,-10.499103757573634,-10.445431278650997,-10.49775772641997,-10.496855119087103,-10.427500247384096
33.0,33.0,-11.958196647028975,-11.79739761602199,-11.31110832762195,-11.527668741819667,-11.229032924681851,-10.211419171486034
35.0,35.0,-13.449485768276507,-12.921791442480949,-11.160079334913387,-12.409435434399224,-12.11612806319967,-7.441834888001544
36.0,36.0,-13.186308721290613,-13.181082981418475,-9.30257999674812,-13.1792123472484,-13.176571202354435,-9.302579996799292
40.0,40.0,-13.86278469471872,-13.48463628105395,-12.269646655037064,-13.862340476035774,-13.484636281059396,-12.030239450236534
41.0,41.0,-10.420153704535313,-9.18260792366851,-3.617974891194311,-10.050994267126015,-8.931380921793718,-3.6179748912059395
44.0,44.0,-6.063887046367264,-5.815745518617694,-5.604721949492067,-6.063887046380357,-5.815745518644344,-5.604721949492872
46.0,46.0,-3.536999647755193,-3.1300464203543563,-2.3279746463485074,-3.4270091258524458,-3.0909656520989244,-2.121795854480119
47.0,47.0,-13.3441708808108,-12.98761941560997,-11.0622307458629,-12.476649250079014,-10.193475405941001,-8.314414326628372
48.0,48.0,-6.9902596229311875,-6.9214646536140965,-6.420496779941269,-6.6364410290444615,-6.4445825786695305,-5.8298740655653125
49.0,49.0,-9.227487825562903,-6.502107003120443,-5.255021980828387,-9.227487825607415,-6.082127384583272,-4.603631097822555
50.0,50.0,-13.44207833354242,-13.311569638613888,-13.308942851075678,-12.476649250079012,-12.469568718797804,-12.432763438785074
51.0,51.0,-10.416826665387351,-10.123788099253192,-10.105529059772088,-10.416826665392513,-10.123788099286648,-10.105529059778245
53.0,53.0,-9.394056113979916,-8.333310917562393,-8.332788438845201,-9.394056114102897,-8.315088159397938,-8.191756059351064
54.0,54.0,-13.65938356509506,-12.660043658910224,-12.514443020897902,-12.476572713467082,-10.860947209703166,-10.544579755817557
59.0,59.0,-5.168687255697382,-4.961274314456747,-4.960818747037742,-5.168609786167126,-4.961274314456756,-4.960818747037756
61.0,61.0,-11.58743339565866,-11.005882860511438,-10.806757143846975,-11.58743339574835,-11.005882860512507,-10.806757143877027
62.0,62.0,-5.810772174062884,-5.235293100173957,-5.225017408898671,-5.750876622062029,-5.235293100174236,-5.225017408911233
63.0,63.0,-1.3862943611198906,-7.649025857291223e-11,0.0,-1.3862943611198906,-7.663769619058794e-11,-3.017586180931631e-13
64.0,64.0,-8.90030555127853,-8.853811595611853,-8.853186643434082,-8.900305551321937,-8.853811595611823,-8.853186643441068
65.0,65.0,-13.834162554161006,-13.137769025328172,-12.701229479237504,-13.339695467526848,-12.915131734710505,-12.701229480114149
66.0,66.0,-13.459858852593708,-13.449773154037095,-13.000877946094466,-12.47377936778262,-12.44225187885767,-12.412078039197826
67.0,67.0,-8.470069151317587,-8.43314086112469,-8.409879377895356,-8.470069151394624,-8.4331408611699,-8.40987937800071
69.0,69.0,-8.98049381987465,-7.422249592527867,-7.417123299252527,-8.958750541788374,-7.40493798301278,-7.403891920396994
72.0,72.0,-6.4460313541895005,-5.486870633300615,-5.214541265282484,-6.446031354200452,-5.486870633301082,-5.214541265284912
74.0,74.0,-13.568159674457991,-13.481328257023845,-13.288020595513348,-12.451487051404904,-12.378440063246929,-12.347473188032328
76.0,76.0,-11.886905099643629,-11.419167094210994,-10.281477844962735,-9.551053533782929,-7.662852192144217,-6.198882985801313
79.0,79.0,-13.61077233651945,-13.25952214811113,-13.183991921112701,-12.465220186105594,-10.66368263853912,-10.66363909399379
81.0,81.0,-12.254014793486014,-9.932695004432123,-9.922005086907479,-12.081951359753774,-9.927781317746756,-9.919374497915019
83.0,83.0,-13.777586548903122,-11.606671547084565,-11.464072747329984,-13.714918869546498,-10.458835692546824,-10.270948396914438
86.0,86.0,-1.3862943611198906,-4.0856244014322214e-09,0.0,-1.3862943611198906,-4.085625289611786e-09,0.0
97.0,97.0,-1.3862943611198906,0.0,0.0,-1.3862943611198906,0.0,0.0
100.0,100.0,-11.558226532264847,-11.53467001465596,-11.334326796617928,-11.048791014171943,-10.844595196775664,-10.150809612318854
101.0,101.0,-3.291269911444415,-3.059086249461931,0.0,-3.0115837670465107,-0.45841742375169964,0.0
102.0,102.0,-12.390979476186727,-12.27884204610782,-12.278683680219759,-12.390979476247841,-11.27067842227895,-11.270331398647787
106.0,106.0,-12.329565625449744,-11.101300949655984,-11.035728361969143,-12.329565625497645,-11.10113744500442,-11.032062258172465
107.0,107.0,-2.066950568270703,-2.214132780913545e-08,-8.881784197001254e-16,-2.0669505682822744,-2.2141328142189844e-08,-4.996003610813211e-15
110.0,110.0,-8.542425012172888,-8.0141111315244,-7.714170714055321,-8.54242501219817,-8.014111131539531,-7.714170714061019
111.0,111.0,-9.588695325485995,-9.13656361190672,-8.37283712343225,-9.584501864089207,-9.128142195834105,-8.261755919142008
117.0,117.0,-9.243089586514794,-7.247603790593137,-7.223236450609331,-9.243089586544965,-6.744738050831397,-6.742287687918105
120.0,120.0,-13.347343727315325,-13.263094300960208,-10.995694813468823,-13.344167525805492,-13.254304282055198,-10.530083055442567
124.0,124.0,-12.57726478166871,-12.257430282994338,-10.435295039081137,-12.577264781689898,-12.257430283002218,-10.435295039228231
126.0,126.0,-13.736121584701754,-13.547087594636858,-13.179472759749638,-13.73612158470189,-13.547087594699011,-13.14055003026494
127.0,127.0,-10.068651775983152,-10.06860614515721,-10.023513371139595,-9.993652397687534,-9.535067716383384,-8.955925794953835
131.0,131.0,-9.480969135404996,-9.033339393419173,-7.413768795414121,-9.480969135448643,-8.293555895846437,-7.413768795460257
132.0,132.0,-8.4297493156824,-8.361449681167592,-8.051200810892423,-8.429749315842683,-8.332988682208404,-8.051200812602271
134.0,134.0,-11.198674839674618,-11.140661329106374,-8.409442530927292,-10.577307612493438,-10.568342825936258,-8.409442530943574
136.0,136.0,-13.342356498481864,-11.56178071666294,-9.601003381547757,-13.342356498482598,-11.259559665978937,-9.601003382037876
138.0,138.0,-9.317245385194916,-9.119058606954006,-9.118191019619454,-8.141243117385631,-7.944323156836974,-7.939231353069012
