,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
6.0,6.0,-12.711523618635745,-0.004219522397410751,-2.1761037416591516e-11,-12.476649250079012,-0.004219522402771383,-2.1763257862640928e-11
9.0,9.0,-9.192258721445265,-8.39743949773589,-7.692767735509728,-9.04043986763556,-8.252659285911651,-7.671691879016037
14.0,14.0,-13.01568039359357,-10.836551590960319,-9.443261835142257,-13.015680393593772,-10.374987924422179,-9.327053660485484
15.0,15.0,-10.543575290631967,-9.585919583752013,-8.41277844059536,-10.214548494261464,-7.902328764474064,-6.638347364028879
18.0,18.0,-9.409966073993022,-2.1332271201133814e-05,-5.80260695667923e-09,-9.409966073995827,-2.1332271391898922e-05,-5.804096098749018e-09
20.0,20.0,-9.047158057480424,0.0,0.0,-8.662638279920806,0.0,0.0
21.0,21.0,-11.491493904322196,-3.0569990983077644e-12,-6.614708780717601e-13,-11.49149390436085,-3.057110120610225e-12,-6.625811010963844e-13
22.0,22.0,-9.275318686560004,-7.8122328440255355,-7.8118337934701625,-9.273953138218683,-7.56250603713286,-7.543033367226673
23.0,23.0,-6.109198261380678,-5.609160669958958,-5.607522325953285,-6.086406180839205,-5.535938652483102,-5.325484250130319
24.0,24.0,-6.632555780826723,-6.624838263524172,-5.821255360410753,-6.033218358625847,-5.917348693557325,-5.140326793133076
25.0,25.0,-13.059073996719292,-12.72067399378174,-12.675900015840739,-13.059073996720352,-12.530601135941989,-12.485375654634014
26.0,26.0,-9.660332520818114,-9.660192456694624,-9.656348082498397,-9.66033252092344,-9.660192456695048,-9.656348082701342
28.0,28.0,-9.862162344473871,-9.195474266333367,-9.024617749012876,-9.82717280596157,-9.195474266334333,-9.024617749018777
29.0,29.0,-11.359468433219508,-6.242454196812174,-5.2993898094321015,-11.359468433280636,-6.242454196812332,-4.966495336689789
30.0,30.0,-10.29635772120349,-4.191795788289306,-1.8988262445464663,-9.823162806834658,-4.191795788525546,-1.8988262445464084
33.0,33.0,-11.383362411705724,-10.535182404940665,-10.397804373917113,-10.645661744295861,-10.116844082716801,-10.09046267771543
35.0,35.0,-8.905396967226903,-8.905371561966824,-7.546445956481883,-8.370982886142553,-8.370675899993767,-7.358484965202895
36.0,36.0,-11.868113350255086,-6.003604309512488,-5.479297376697626,-11.868113350256126,-6.003604309512922,-5.469091900676752
