,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
6.0,6.0,-13.35951840454592,-11.356007286442145,-3.644270950229643,-13.35951840457743,-11.241170971352226,-3.644270950233056
9.0,9.0,-9.778674292304881,-7.029729035869524,-5.606008923964514,-8.509789196868722,-7.029729036592083,-5.606008927669551
14.0,14.0,-13.836284895035023,-13.324653271771622,-7.13950699684509,-12.476649250079015,-11.313191260159387,-6.450051901614324
15.0,15.0,-12.09317524363916,-11.27764874473689,-8.890809855272321,-12.09317524364695,-10.9002566326435,-8.769124308826743
18.0,18.0,-9.409966073993022,-2.1332271200878373e-05,-5.802606956679121e-09,-9.409966074003835,-2.133227135372585e-05,-5.802676678680663e-09
20.0,20.0,-9.047158057480425,0.0,0.0,-8.662638279920701,0.0,0.0
21.0,21.0,-11.491493904322196,-3.056999098307766e-12,-6.614708780717601e-13,-11.491493904456497,-3.05699909830777e-12,-6.614708780717599e-13
22.0,22.0,-6.562220868836098,-6.380174571042118,-6.246363478521196,-6.535817138301353,-6.278226025548046,-4.9147411717664555
23.0,23.0,-6.317622569561137,-3.7126488736268306,-3.676154680051291,-5.6179324475270045,-3.4769281374334495,-3.323571855625737
24.0,24.0,-4.3908174829761615,-4.129376383786825,-2.3860850439982455,-4.231103545417395,-3.897716496075429,-1.7760527129486214
25.0,25.0,-10.82601812434405,-10.81615992032525,-10.808986154164625,-10.763288023842307,-10.523877707178656,-9.505086439019621
26.0,26.0,-12.950489497385474,-11.543037955379083,-5.999223314205197,-12.430206671573242,-11.50194511504631,-5.835086961715907
28.0,28.0,-10.199830793500704,-6.624060260120049,-4.569100958963204,-9.510448009464563,-6.597011250783172,-4.495299225670289
29.0,29.0,-11.403943115367888,-6.151191095281062,-3.389600566777318,-11.403943115381326,-5.84097726879427,-3.8362513679247074e-08
30.0,30.0,-10.857280299360196,-8.896603832110573,-8.865382181820616,-10.857280299421163,-8.892699463640627,-8.862284085580649
33.0,33.0,-13.305828482966733,-11.9404688850653,-11.618519826801695,-12.217767530315001,-11.050776665633999,-10.287604327769687
35.0,35.0,-9.49649995740576,-7.813945199735269,-7.808022491661522,-9.320056849713438,-7.813945199741167,-7.808022491730506
